GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Gini Index,Margin of Error; Gini Index
1600000US2630260,2630260,"Frankfort city, Michigan",0.4414,0.0399
1600000US2630340,2630340,"Franklin village, Michigan",0.5542,0.0588
1600000US2630420,2630420,"Fraser city, Michigan",0.4437,0.0292
1600000US2630540,2630540,"Freeland CDP, Michigan",0.3470,0.0292
1600000US2630580,2630580,"Freeport village, Michigan",0.3129,0.0728
1600000US2630600,2630600,"Free Soil village, Michigan",0.3682,0.0682
1600000US2630700,2630700,"Fremont city, Michigan",0.4069,0.0343
1600000US2631000,2631000,"Fruitport village, Michigan",0.4202,0.0532
1600000US2631160,2631160,"Gaastra city, Michigan",0.3560,0.0490
1600000US2631180,2631180,"Gagetown village, Michigan",0.3584,0.0628
1600000US2631200,2631200,"Gaines village, Michigan",0.3941,0.0502
1600000US2631260,2631260,"Galesburg city, Michigan",0.4092,0.0319
1600000US2631300,2631300,"Galien village, Michigan",0.3890,0.0509
1600000US2631380,2631380,"Garden village, Michigan",0.3297,0.0723
1600000US2631420,2631420,"Garden City city, Michigan",0.3756,0.0141
1600000US2631720,2631720,"Gaylord city, Michigan",0.4468,0.0372
1600000US2632020,2632020,"Gibraltar city, Michigan",0.3694,0.0305
1600000US2632300,2632300,"Gladstone city, Michigan",0.4228,0.0363
1600000US2632320,2632320,"Gladwin city, Michigan",0.4638,0.0635
1600000US2632360,2632360,"Glen Arbor CDP, Michigan",0.5310,0.1660
1600000US2632640,2632640,"Gobles city, Michigan",0.4001,0.0408
1600000US2632980,2632980,"Goodrich village, Michigan",0.4285,0.0523
1600000US2633260,2633260,"Grand Beach village, Michigan",0.5268,0.0813
1600000US2633280,2633280,"Grand Blanc city, Michigan",0.4678,0.0387
1600000US2633340,2633340,"Grand Haven city, Michigan",0.4754,0.0524
1600000US2633420,2633420,"Grand Ledge city, Michigan",0.4011,0.0273
1600000US2634000,2634000,"Grand Rapids city, Michigan",0.4550,0.0094
1600000US2634160,2634160,"Grandville city, Michigan",0.3988,0.0306
1600000US2634360,2634360,"Grant city, Michigan",0.4142,0.0405
1600000US2634480,2634480,"Grass Lake village, Michigan",0.4552,0.0897
1600000US2634620,2634620,"Grawn CDP, Michigan",0.2650,0.1012
1600000US2634640,2634640,"Grayling city, Michigan",0.4925,0.1114
1600000US2635100,2635100,"Greenville city, Michigan",0.4636,0.0503
1600000US2635300,2635300,"Greilickville CDP, Michigan",0.4685,0.0748
1600000US2635480,2635480,"Grosse Pointe city, Michigan",0.4773,0.0259
1600000US2635520,2635520,"Grosse Pointe Farms city, Michigan",0.4238,0.0284
1600000US2635540,2635540,"Grosse Pointe Park city, Michigan",0.4931,0.0329
1600000US2635580,2635580,"Grosse Pointe Woods city, Michigan",0.3981,0.0252
1600000US2635760,2635760,"Gwinn CDP, Michigan",0.3802,0.0389
1600000US2636280,2636280,"Hamtramck city, Michigan",0.4944,0.0228
1600000US2636300,2636300,"Hancock city, Michigan",0.4604,0.0314
1600000US2636380,2636380,"Hanover village, Michigan",0.3660,0.0619
1600000US2636460,2636460,"Harbor Beach city, Michigan",0.5216,0.0488
